feature,importance
log_surface,0.36314116529415513
rooms_per_m2,0.30165658659842054
surface_m2,0.29309426613616885
rooms,0.018563225448503227
total_rooms,0.01776065030624284
city_encoded,0.0055737671910118265
city_tier,0.00021033902549772425
bathrooms,0.0
prop_tier,0.0
is_sale,0.0
is_apartment,0.0
is_villa,0.0
is_studio,0.0
type_appartement,0.0
