source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
blog_article,prix Maison traditionnelle Tunis,construction,,,1650.0,1200.0,2100.0,TND,m²,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 1200.0 – 2100.0 DT/m²,https://www.sm-devis.tn/prix-pose-construction-et-amenagement-en-tunis/,2026-04-05 09:41:56.976492,0.0022838038283144587,0.00022617524827873845,0.007237271326639973
blog_article,en Tunisie varie entre 1200 dt/m,construction,,,1451.0,2.0,2900.0,TND,m,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2.0 – 2900.0 DT/m,https://www.sm-devis.tn/prix-pose-construction-et-amenagement-en-tunis/,2026-04-05 09:41:56.976492,0.002008196210464503,1.8863657070787194e-07,0.009995903431324544
blog_article,Prix extension Tunis,construction,,,1850.0,1200.0,2500.0,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-pose-construction-et-amenagement-en-tunis/,2026-04-05 09:41:56.970984,0.002560796409068183,0.00022617524827873845,0.008616587378982259
blog_article,dt/m,construction,,,1441.0,2.0,2880.0,TND,m,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2.0 – 2880.0 DT/m,https://www.sm-devis.tn/prix-estimatif-dun-construction-m2-en-tunis/,2026-04-05 09:41:23.670165,0.0019943465814268166,1.8863657070787194e-07,0.00992693762870743
blog_article,SM Devis,construction,,,6.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,SM Devis : 6,http://www.sm-devis.tn/devis-travaux-et-batiment/devis-construction-maison-899.html/,2026-04-05 09:34:13.172055,6.9248145188431126e-06,,
blog_article,Maison en briques Tunis,construction,,,2200.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,190 000 dt à 250 000 dt,https://www.sm-devis.tn/prix-estimatif-dun-construction-m2-en-tunis/,2026-04-05 09:41:23.661507,0.003045533425387201,,
blog_article,Maison en containers Tunis,construction,,,1850.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,120 000 dt à 250 000 dt,https://www.sm-devis.tn/prix-estimatif-dun-construction-m2-en-tunis/,2026-04-05 09:41:23.661507,0.002560796409068183,,
blog_article,Prix,construction,,,78721.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,"Prix :
 environ 
78 721 dt",http://www.sm-devis.tn/devis-travaux-et-batiment/devis-construction-maison-899.html/,2026-04-05 09:34:13.172055,0.10902427978466597,,
blog_article,Délais,construction,,,8.0,6.0,10.0,TND,unité,,,Tunis,SM Devis (source blog),True,"Délais : 
de 6 à 10",http://www.sm-devis.tn/devis-travaux-et-batiment/devis-construction-maison-899.html/,2026-04-05 09:34:13.172055,9.694740326380358e-06,9.431828535393596e-07,3.0344953151530288e-05
blog_article,Prix,construction,,,59758.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,"Prix :
 environ 
59 758 dt",http://www.sm-devis.tn/devis-travaux-et-batiment/devis-construction-maison-899.html/,2026-04-05 09:34:13.172055,0.08276122824050158,,
blog_article,Délais,construction,,,6.5,5.0,8.0,TND,unité,,,Tunis,SM Devis (source blog),True,"Délais :
 de 5 à 8",http://www.sm-devis.tn/devis-travaux-et-batiment/devis-construction-maison-899.html/,2026-04-05 09:34:13.172055,7.617295970727424e-06,7.545462828314878e-07,2.3448372889818856e-05
blog_article,Rénovation partielle,construction,,,150300.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,20.000 dt,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.061688,0.2081585394735202,,
blog_article,Rénovation complète,construction,,,8501.1,,,TND,m²,,,Tunis,SM Devis (source blog),True,90.000 dt,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.061688,0.01177232317832367,,
blog_article,Remplacement de tuiles,construction,,,40130.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.055577176365331056,,
blog_article,Rénovation de toiture,construction,,,180260.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.24965202807042813,,
