source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
ecommerce,Grès rectifié brillant RD GRIGIO SUP BRI 80x80 cm,autre,Grès rectifié brillant RD GRIGIO SUP BRI 80x80 cm,"Référence 
fPUO",78.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29607-gres-rectifie-brillant-rd-grigio-sup-bri-80x80-cm.html,2026-04-05 09:32:27.952402,0.0001066435285530877,,
ecommerce,Grès rectifié MK NUT MATT R9 30x60 cm,autre,Grès rectifié MK NUT MATT R9 30x60 cm,"Référence 
fOHN",46.001,,,TND,t,30x60 cm,0.18,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30860-gres-rectifie-mk-nut-matt-r9-30x60-cm.html,2026-04-05 09:32:51.841375,6.232471563249178e-05,,
ecommerce,Grès rectifié brillant RD GRIGIO SUP BRI 60x60 cm,autre,Grès rectifié brillant RD GRIGIO SUP BRI 60x60 cm,"Référence 
fNYI",68.0,,,TND,t,60x60 cm,0.36,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29606-gres-rectifie-brillant-rd-grigio-sup-bri-60x60-cm.html,2026-04-05 09:32:12.481851,9.279251455249771e-05,,
ecommerce,"Grès mat FI DECO GREY 25X21,6 cm",autre,"Grès mat FI DECO GREY 25X21,6 cm","Référence 
fK6E",42.001,,,TND,t,25x21 cm,0.0525,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/29475-gres-mat-fi-deco-grey-25x216-cm.html,2026-04-05 09:32:14.036580,5.678486401741729e-05,,
ecommerce,Grès rectifié VS BIANCO MATT R9 80x80 cm,autre,Grès rectifié VS BIANCO MATT R9 80x80 cm,"Référence 
fTFU",126.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/29227-gres-rectifie-vs-bianco-matt-r9-80x80-cm.html,2026-04-05 09:32:50.530805,0.0001731217479339816,,
blog_article,Autres imprévus (10%),autre,,,9000.0,,,TND,unité,,,Tunisie,limmobilier.tn (source blog),True,Autres imprévus (10%),https://limmobilier.tn/article/25/prix-des-materiaux-de-construction-en-tunisie-2025-guide-complet.html,2026-04-05 09:33:34.592995,0.012463281171013835,,
ecommerce,"Grès rectifié naturel NB BEIGE 80x80x0,9 cm",autre,"Grès rectifié naturel NB BEIGE 80x80x0,9 cm","Référence 
FRLR",126.001,,,TND,unité,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/27788-gres-rectifie-naturel-nb-beige-80x80x09-cm.html,2026-04-05 09:32:18.613251,0.0001731217479339816,,
ecommerce,"Grès rectifié mat MC BEIGE RT 120x278x0,6 cm",autre,"Grès rectifié mat MC BEIGE RT 120x278x0,6 cm","Référence 
FTQC",280.0,,,TND,t,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/30716-gres-rectifie-mat-mc-beige-rt-120x278x06-cm.html,2026-04-05 09:32:47.631551,0.00038640465015144567,,
ecommerce,"Grès rectifié mat MK SAND 7,5x30 cm",autre,"Grès rectifié mat MK SAND 7,5x30 cm","Référence 
fMII",48.001,,,TND,t,5x30 cm,0.015,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/26932-gres-rectifie-mat-mk-sand-75x30-cm.html,2026-04-05 09:32:21.398731,6.509464144002902e-05,,
ecommerce,Effet Design,autre,Effet Design,,55.985,,,TND,t,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71301-effet-design,2026-04-05 09:32:09.220681,7.615218526371771e-05,,
blog_article,"Gros œuvre (fondation, murs, dalle)",autre,,,70000.0,,,TND,unité,,,Tunisie,limmobilier.tn (source blog),True,"Gros œuvre (fondation, murs, dalle)",https://limmobilier.tn/article/25/prix-des-materiaux-de-construction-en-tunisie-2025-guide-complet.html,2026-04-05 09:33:34.591996,0.09694601830089981,,
ecommerce,Grès rectifié VS BEIGE MATT R9 80x80 cm,autre,Grès rectifié VS BEIGE MATT R9 80x80 cm,"Référence 
fTDR",126.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/29225-gres-rectifie-vs-beige-matt-r9-80x80-cm.html,2026-04-05 09:32:26.547500,0.0001731217479339816,,
ecommerce,Grès rectifié MP BEIGE MATT RT 60X120 cm,autre,Grès rectifié MP BEIGE MATT RT 60X120 cm,"Référence 
FTVP",136.0,,,TND,t,60x120 cm,0.72,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/30708-gres-rectifie-mp-beige-matt-rt-60x120-cm.html,2026-04-05 09:33:19.172575,0.00018696999200876405,,
blog_article,Électricité complète,autre,,,4000.0,,,TND,unité,,,Tunisie,limmobilier.tn (source blog),True,Électricité complète,https://limmobilier.tn/article/25/prix-des-materiaux-de-construction-en-tunisie-2025-guide-complet.html,2026-04-05 09:33:34.591996,0.005538466652170722,,
ecommerce,"Grès rectifié mat MX SUPERDROP WHITE RT 120x278x0,6 cm",autre,"Grès rectifié mat MX SUPERDROP WHITE RT 120x278x0,6 cm","Référence 
FTYN",280.0,,,TND,t,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/30715-gres-rectifie-mat-mx-superdrop-white-rt-120x278x06-cm.html,2026-04-05 09:32:30.650816,0.00038640465015144567,,
ecommerce,Grès rectifié mat MC BIANCO RT 80x80 cm,autre,Grès rectifié mat MC BIANCO RT 80x80 cm,"Référence 
FTN3",119.999,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30723-gres-rectifie-mat-mc-bianco-rt-80x80-cm.html,2026-04-05 09:32:32.156637,0.00016480920058556232,,
ecommerce,Grès rectifié VS GRIGIO MATT R9 60X120 cm,autre,Grès rectifié VS GRIGIO MATT R9 60X120 cm,"Référence 
fTFO",82.001,,,TND,t,60x120 cm,0.72,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/29593-gres-rectifie-vs-grigio-matt-r9-60x120-cm.html,2026-04-05 09:32:33.427256,0.0001121833801681622,,
ecommerce,Grès rectifié satiné YLICO LAGOON 80X80 cm,autre,Grès rectifié satiné YLICO LAGOON 80X80 cm,"Référence 
fQW5",68.0,,,TND,unité,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/30866-gres-rectifie-satine-ylico-lagoon-80x80-cm.html,2026-04-05 09:32:34.945773,9.279251455249771e-05,,
ecommerce,"Grès rectifié CM278 FLOWERY FIELD 120x278x0,6 cm",autre,"Grès rectifié CM278 FLOWERY FIELD 120x278x0,6 cm","Référence 
fRYI",340.001,,,TND,unité,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/27587-gres-rectifie-cm278-flowery-field-120x278x06-cm.html,2026-04-05 09:32:36.236170,0.0004695038093404668,,
ecommerce,"Grès rectifié naturel NB WHITE 80x80x0,9 cm",autre,"Grès rectifié naturel NB WHITE 80x80x0,9 cm","Référence 
FRLU",126.001,,,TND,unité,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/27787-gres-rectifie-naturel-nb-white-80x80x09-cm.html,2026-04-05 09:32:25.095440,0.0001731217479339816,,
ecommerce,Grès rectifié MP SASSI TORTORA MATT RT 80x80 cm,autre,Grès rectifié MP SASSI TORTORA MATT RT 80x80 cm,"Référence 
FTVF",119.999,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/30711-gres-rectifie-mp-sassi-tortora-matt-rt-80x80-cm.html,2026-04-05 09:32:07.712187,0.00016480920058556232,,
ecommerce,Effet Pierre,autre,Effet Pierre,,15.001,,,TND,t,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71297-effet-pierre,2026-04-05 09:33:32.516240,1.9390865615664483e-05,,
ecommerce,Grès rectifié PL GOLD MATT R9 20x120 cm,autre,Grès rectifié PL GOLD MATT R9 20x120 cm,"Référence 
fTJK",112.0,,,TND,t,20x120 cm,0.24,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-bois/29228-gres-rectifie-pl-gold-matt-r9-20x120-cm.html,2026-04-05 09:33:30.873511,0.0001537308823183171,,
ecommerce,Marche d escalier NA WHITE SCALINO MATT R9 33x120 cm,autre,Marche d escalier NA WHITE SCALINO MATT R9 33x120 cm,"Référence 
fQMC",25.001,,,TND,t,33x120 cm,0.396,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30856-marche-d-escalier-na-white-scalino-matt-r9-33x120-cm.html,2026-04-05 09:33:23.252794,3.324049465335071e-05,,
ecommerce,Grès rectifié ME TORTORA MATT RT 60X120 cm,autre,Grès rectifié ME TORTORA MATT RT 60X120 cm,"Référence 
FTSN",136.0,,,TND,t,60x120 cm,0.72,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30718-gres-rectifie-me-tortora-matt-rt-60x120-cm.html,2026-04-05 09:33:16.473067,0.00018696999200876405,,
ecommerce,Grandes Dalles,autre,Grandes Dalles,,280.0,,,TND,unité,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71329-grande-dalles,2026-04-05 09:33:13.630775,0.00038640465015144567,,
ecommerce,"Grès rectifié mat MC BIANCO RT 120x278x0,6 cm",autre,"Grès rectifié mat MC BIANCO RT 120x278x0,6 cm","Référence 
FTQD",280.0,,,TND,t,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/30717-gres-rectifie-mat-mc-bianco-rt-120x278x06-cm.html,2026-04-05 09:33:12.241881,0.00038640465015144567,,
ecommerce,Pavé autobloquant Neapolis Gris,autre,Pavé autobloquant Neapolis Gris,,16.184,,,TND,ML,,,Tunisie,COMAF - Comptoir Africain,True,"Caractéristiques du produit 
Longueur : 20 cm
Largeur : 11,5 cm
Epaisseur : 6 cm
Poids : 115 kg / m2
Couleurs : gris",https://www.comaf.tn/ciment-et-produits-en-beton/1251-pavé-autobloquant-neapolis-gris.html,2026-04-05 09:30:25.773554,2.1029276730822768e-05,,
ecommerce,Grès rectifié satiné YLICO MUSK 80X80 cm,autre,Grès rectifié satiné YLICO MUSK 80X80 cm,"Référence 
fQWW",68.0,,,TND,unité,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/30863-gres-rectifie-satine-ylico-musk-80x80-cm.html,2026-04-05 09:33:09.353482,9.279251455249771e-05,,
ecommerce,PAVÉ AUTOBLOQUANT NEAPOLIS ROUGE,autre,PAVÉ AUTOBLOQUANT NEAPOLIS ROUGE,,7.354,,,TND,ML,,,Tunisie,COMAF - Comptoir Africain,True,"Caractéristiques du produit 
Longueur : 20 cm
Largeur : 11,5 cm
Epaisseur : 6 cm
Poids : 115 kg / m2
Couleurs : rouge",https://www.comaf.tn/ciment-et-produits-en-beton/1252-pave-autobloquant-neapolis-rouge.html,2026-04-05 09:30:38.800994,8.800054290545828e-06,,
ecommerce,Grès satiné NA SAND MACROMOSAICO ANTICATO 30x30 cm,autre,Grès satiné NA SAND MACROMOSAICO ANTICATO 30x30 cm,"Référence 
fQNU",15.001,,,TND,unité,30x30 cm,0.09,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30862-gres-satine-na-sand-macromosaico-anticato-30x30-cm.html,2026-04-05 09:33:07.991687,1.9390865615664483e-05,,
ecommerce,Grès rectifié MK SAND OUT R11 30x60 cm,autre,Grès rectifié MK SAND OUT R11 30x60 cm,"Référence 
fOIE",46.001,,,TND,t,30x60 cm,0.18,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30852-gres-rectifie-mk-sand-out-r11-30x60-cm.html,2026-04-05 09:33:05.123785,6.232471563249178e-05,,
ecommerce,Grès rectifié VS TORTORA MATT R9 80x80 cm,autre,Grès rectifié VS TORTORA MATT R9 80x80 cm,"Référence 
fTFW",126.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/29224-gres-rectifie-vs-tortora-matt-r9-80x80-cm.html,2026-04-05 09:33:28.610602,0.0001731217479339816,,
ecommerce,Grès rectifié mat MC TORTORA RT 60x120 cm,autre,Grès rectifié mat MC TORTORA RT 60x120 cm,"Référence 
FTQJ",136.0,,,TND,t,60x120 cm,0.72,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30721-gres-rectifie-mat-mc-tortora-rt-60x120-cm.html,2026-04-05 09:33:02.187687,0.00018696999200876405,,
ecommerce,Grès mat ROMA DECO STATUARIO GRAFITE 20x20 cm,autre,Grès mat ROMA DECO STATUARIO GRAFITE 20x20 cm,"Référence 
fLZM",42.0,,,TND,t,20x20 cm,0.04,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29201-gres-mat-roma-deco-statuario-grafite-20x20-cm.html,2026-04-05 09:33:00.669225,5.678347905451353e-05,,
ecommerce,Grès rectifié RM PIETRA MATT R9 30x60 cm,autre,Grès rectifié RM PIETRA MATT R9 30x60 cm,"Référence 
fOT5",46.001,,,TND,t,30x60 cm,0.18,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/30855-gres-rectifie-rm-pietra-matt-r9-30x60-cm.html,2026-04-05 09:32:59.019468,6.232471563249178e-05,,
ecommerce,Marche d escalier NA SAND SCALINO MATT R10* 33x80 cm,autre,Marche d escalier NA SAND SCALINO MATT R10* 33x80 cm,"Référence 
fQOD",25.001,,,TND,t,33x80 cm,0.264,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30859-marche-d-escalier-na-sand-scalino-matt-r10-33x80-cm.html,2026-04-05 09:32:57.748479,3.324049465335071e-05,,
ecommerce,Grès rectifié NA WHITE MATT R10 80X80 cm,autre,Grès rectifié NA WHITE MATT R10 80X80 cm,"Référence 
fQAK",68.0,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30861-gres-rectifie-na-white-matt-r10-80x80-cm.html,2026-04-05 09:31:58.988691,9.279251455249771e-05,,
ecommerce,"Grès rectifié naturel RS PIETRA BEIGE 60X120x0,9 cm",autre,"Grès rectifié naturel RS PIETRA BEIGE 60X120x0,9 cm","Référence 
fQXA",114.0,,,TND,unité,60x120 cm,0.72,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29907-gres-rectifie-naturel-rs-pietra-beige-60x120x09-cm.html,2026-04-05 09:33:29.668783,0.00015650080812585436,,
ecommerce,"Grès rectifié mat ME TORTORA RT 120x278x0,6 cm",autre,"Grès rectifié mat ME TORTORA RT 120x278x0,6 cm","Référence 
FTSH",280.0,,,TND,t,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/30714-gres-rectifie-mat-me-tortora-rt-120x278x06-cm.html,2026-04-05 09:32:00.969859,0.00038640465015144567,,
ecommerce,Grès rectifié MC BEIGE MATT RT 80X80 cm,autre,Grès rectifié MC BEIGE MATT RT 80X80 cm,"Référence 
FTN2",119.999,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30713-gres-rectifie-mc-beige-matt-rt-80x80-cm.html,2026-04-05 09:32:02.039224,0.00016480920058556232,,
ecommerce,"Grès rectifié CM278 GREEN TREES 120x278x0,6 cm",autre,"Grès rectifié CM278 GREEN TREES 120x278x0,6 cm","Référence 
fRYJ",340.001,,,TND,unité,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/27586-gres-rectifie-cm278-green-trees-120x278x06-cm.html,2026-04-05 09:32:03.238476,0.0004695038093404668,,
ecommerce,Grès satiné NA WHITE MACROMOSAICO ANTICATO 30x30 cm,autre,Grès satiné NA WHITE MACROMOSAICO ANTICATO 30x30 cm,"Référence 
fQNW",15.001,,,TND,unité,30x30 cm,0.09,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30857-gres-satine-na-white-macromosaico-anticato-30x30-cm.html,2026-04-05 09:32:37.715877,1.9390865615664483e-05,,
ecommerce,Effet 3D,autre,Effet 3D,,45.988,,,TND,t,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71304-effet-3d,2026-04-05 09:32:39.510563,6.23067111147428e-05,,
blog_article,"Menuiserie (bois, alu)",bois,,,7500.0,,,TND,unité,,,Tunisie,limmobilier.tn (source blog),True,"Menuiserie (bois, alu)",https://limmobilier.tn/article/25/prix-des-materiaux-de-construction-en-tunisie-2025-guide-complet.html,2026-04-05 09:33:34.591996,0.010385836815360901,,
ecommerce,Effet Bois,bois,Effet Bois,,112.0,,,TND,t,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71298-effet-bois,2026-04-05 09:32:23.352081,0.0001537308823183171,,
blog_article,Prix revêtement de Parquet stratifié Tunis,carrelage,,,112572.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Parquet stratifié Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.855792,0.15590665904013762,,
blog_article,Prix revêtement de Verre Tunis,carrelage,,,659211.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Verre Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.859790,0.9129813957933137,,
blog_article,Prix revêtement de Béton composite Tunis,carrelage,,,937.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton composite Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.0012963252779274307,,
blog_article,Prix revêtement de Sisal Tunis,carrelage,,,132382.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Sisal Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.854791,0.18334277416379402,,
blog_article,Prix revêtement de Béton lissé Tunis,carrelage,,,917.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton lissé Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.0012686260198520583,,
blog_article,Prix revêtement de Béton ciré Tunis,carrelage,,,1497.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton ciré Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.0020719045040378595,,
blog_article,Prix revêtement de Cuir Tunis,carrelage,,,2337.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Cuir Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.855792,0.0032352733432035024,,
blog_article,Grès cérame,carrelage,,,20150.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,"Grès cérame | entretien facile, résiste à l’humidité et aux tâches | résiste à l’humidité, contact froid, glissant si mouillé | résiste à l’humidité, contact froid, glissant si mouillé",https://www.sm-devis.tn/prix-installation-revetement-sol-tunisie/,2026-04-05 09:41:45.546767,0.027905617548033976,,
blog_article,Prix revêtement de Béton dallé Tunis,carrelage,,,1502.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton dallé Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.0020788293185567026,,
blog_article,Prix revêtement de Liège Tunis,carrelage,,,122332.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Liège Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.855792,0.16942389698091936,,
blog_article,Prix revêtement de Béton coulé Tunis,carrelage,,,1577.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton coulé Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.0021827015363393492,,
blog_article,Prix revêtement de Béton naturel Tunis,carrelage,,,1807.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Béton naturel Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.858792,0.002501243004206132,,
blog_article,Prix revêtement de Pierre reconstituée Tunis,carrelage,,,542.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Pierre reconstituée Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.857789,0.0007492649309388248,,
blog_article,Prix revêtement de Marbre Tunis,carrelage,,,957.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Marbre Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.857789,0.0013240245360028032,,
blog_article,Prix revêtement de Granit Tunis,carrelage,,,1102.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Granit Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.857789,0.0015248441570492534,,
blog_article,Prix revêtement de Ardoise Tunis,carrelage,,,342652.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Ardoise Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.857789,0.4745589239392223,,
blog_article,Prix revêtement de Pierre blanche Tunis,carrelage,,,897.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Pierre blanche Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.857789,0.0012409267617766858,,
blog_article,Prix revêtement de Mosaïque Tunis,carrelage,,,122682.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Mosaïque Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.16990863399723838,,
blog_article,Prix revêtement de Faïence Tunis,carrelage,,,887.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Faïence Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.0012270771327389995,,
blog_article,Prix revêtement de Tomettes Tunis,carrelage,,,707.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Tomettes Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.0009777838100606475,,
blog_article,Prix revêtement de Carreaux de ciment Tunis,carrelage,,,232892.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Carreaux de ciment Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.3225453956215783,,
blog_article,Prix revêtement de Parquet massif Tunis,carrelage,,,1017.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Parquet massif Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.855792,0.0014071223102289205,,
blog_article,Prix revêtement de Terre cuite Tunis,carrelage,,,432672.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Terre cuite Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.5992332845364737,,
blog_article,Prix revêtement de Parquet flottant Tunis,carrelage,,,947.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Parquet flottant Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.855792,0.001310174906965117,,
blog_article,Prix revêtement de Grès cérame Tunis,carrelage,,,907.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Grès cérame Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.856789,0.001254776390814372,,
blog_article,Prix revêtement de Coco Tunis,carrelage,,,102292.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Coco Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.854791,0.14166924038939618,,
blog_article,Isolant fibres de bois,carrelage,,,18.0,10.0,25.0,TND,unité,,,Tunis,SM Devis (source blog),True,Isolant fibres de bois,https://www.sm-devis.tn/prix-de-lisolation-par-lexterieur-en-tunisie/,2026-04-05 09:41:16.797729,2.3544369364066585e-05,1.6977291363708474e-06,8.2069305114366e-05
blog_article,Prix revêtement de Lino Tunis,carrelage,,,212642.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Prix revêtement de Lino Tunis,https://www.sm-devis.tn/prix-pose-sol-mur-plafond-tunis/,2026-04-05 09:42:17.854791,0.2944998968202637,,
blog_article,"tion totale. Pour une rénovation plus légère ne concernant qu’un seul pignon, la facture sera divisée au minimum par 4 (",carrelage,,,2250.0,2000.0,2500.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2000.0 – 2500.0 DT/unité,https://www.sm-devis.tn/prix-de-lisolation-par-lexterieur-en-tunisie/,2026-04-05 09:41:16.807471,0.003114781570575632,0.000377084504845036,0.008616587378982259
blog_article,"et 153 dt pour du fioul). Le retour sur investissement, après déduction des éventuelles aides, est généralement compris",carrelage,,,14.0,12.0,16.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 12.0 – 16.0 DT/unité,https://www.sm-devis.tn/prix-de-lisolation-par-lexterieur-en-tunisie/,2026-04-05 09:41:16.807471,1.8004517748992092e-05,2.0750022777865914e-06,5.103469393666457e-05
blog_article,Béton lissé,carrelage,,,85.0,70.0,100.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 70.0 – 100.0 DT/unité,https://www.sm-devis.tn/prix-installation-revetement-sol-tunisie/,2026-04-05 09:41:45.557551,0.0001163368839165643,1.3015923378843163e-05,0.00034069106492854454
blog_article,Béton ciré,carrelage,,,140.0,100.0,180.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 100.0 – 180.0 DT/unité,https://www.sm-devis.tn/prix-installation-revetement-sol-tunisie/,2026-04-05 09:41:45.556556,0.00019250984362383853,1.8675020500079322e-05,0.0006165542753970017
blog_article,Béton dallé,carrelage,,,140.0,80.0,200.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 80.0 – 200.0 DT/unité,https://www.sm-devis.tn/prix-installation-revetement-sol-tunisie/,2026-04-05 09:41:45.556556,0.00019250984362383853,1.4902289085921883e-05,0.000685520078014116
