surface_m2,log_surface,rooms,bathrooms,total_rooms,rooms_per_m2,city_tier,prop_tier,city_encoded,is_sale,is_apartment,is_villa,is_studio,type_appartement
-0.11940298507462686,-0.17075790148019387,0.0,0.0,0.0,-0.15671641791044774,3,2,4,1,1,0,0,True
0.05970149253731343,0.07166244090165488,1.0,0.0,1.0,0.059701492537313466,3,2,4,1,1,0,0,True
-0.31343283582089554,-0.5933338802778341,0.0,0.0,0.0,0.30597014925373134,3,2,4,1,1,0,0,True
-0.23880597014925373,-0.3988839986791576,0.0,0.0,0.0,0.059701492537313466,3,2,4,1,1,0,0,True
-0.29850746268656714,-0.5497681586674964,1.0,0.0,1.0,1.1791044776119406,3,2,4,1,1,0,0,True
1.2537313432835822,0.8205675727874405,2.0,0.0,2.0,-0.31343283582089554,3,2,4,1,1,0,0,True
-0.23880597014925373,-0.3988839986791576,0.0,0.0,0.0,0.059701492537313466,3,2,4,1,1,0,0,True
-0.05970149253731343,-0.08006217217774815,0.0,0.0,0.0,-0.2238805970149254,3,2,4,1,1,0,0,True
1.1134328358208956,0.764889598018229,0.0,0.0,0.0,-0.5522388059701493,3,2,4,1,1,0,0,True
-0.208955223880597,-0.33433132724875997,0.0,0.0,0.0,-0.007462686567164135,3,2,4,1,1,0,0,True
1.155223880597015,0.7819537766362518,1.0,0.0,1.0,-0.42537313432835827,3,2,4,1,1,0,0,True
0.8059701492537313,0.624243928612844,579.0,0.0,579.0,95.5,3,2,4,1,1,0,0,True
-0.05970149253731343,-0.08006217217774815,0.0,0.0,0.0,-0.2238805970149254,3,2,4,1,1,0,0,True
0.14925373134328357,0.1667808927792161,0.0,0.0,0.0,-0.3656716417910448,3,2,4,1,1,0,0,True
-0.12835820895522387,-0.1854627806154366,2.0,0.0,2.0,0.9477611940298508,3,2,4,1,1,0,0,True
0.29850746268656714,0.3007528914583828,0.0,0.0,0.0,-0.41791044776119407,3,2,4,1,1,0,0,True
-0.23880597014925373,-0.3988839986791576,1.0,0.0,1.0,0.8059701492537314,3,2,0,1,1,0,0,True
0.29850746268656714,0.3007528914583828,0.0,0.0,0.0,-0.41791044776119407,3,2,4,1,1,0,0,True
23.34328358208955,2.5906109378841817,0.0,0.0,0.0,-0.6791044776119404,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,1.0,0.0,1.0,-0.5373134328358209,3,2,4,1,1,0,0,True
1.8746268656716418,1.0237809522104941,0.0,0.0,0.0,-0.5970149253731344,3,2,4,1,1,0,0,True
0.7611940298507462,0.6011160013208424,1.0,0.0,1.0,-0.3432835820895523,3,2,4,1,1,0,0,True
1.537313432835821,0.9209111937670993,3.0,0.0,3.0,-0.25373134328358216,3,2,4,1,1,0,0,True
-0.3522388059701492,-0.7216045312327081,5.0,0.0,5.0,6.537313432835822,3,2,4,1,1,0,0,True
0.9552238805970149,0.6961326121630278,0.0,0.0,0.0,-0.5373134328358209,3,2,4,1,1,0,0,True
0.11343283582089553,0.13030555040418526,0.0,0.0,0.0,-0.3432835820895523,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,5.0,0.0,5.0,-0.23880597014925373,3,2,4,1,1,0,0,True
3.9492537313432834,1.4477641151354914,3.0,0.0,3.0,-0.48507462686567165,3,2,4,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,2.0,0.0,2.0,1.7985074626865676,3,2,4,1,1,0,0,True
0.44776119402985076,0.4127264116291595,0.0,0.0,0.0,-0.4626865671641791,3,2,4,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,0.0,0.0,0.0,0.14179104477611945,3,2,4,1,1,0,0,True
-0.011940298507462687,-0.01527997723860033,0.0,0.0,0.0,-0.26119402985074625,3,2,4,1,1,0,0,True
-0.14925373134328357,-0.22105634549214764,1.0,0.0,1.0,0.4626865671641792,3,2,4,1,1,0,0,True
-0.3373134328358209,-0.6693844668053995,0.0,0.0,0.0,0.42537313432835827,3,2,4,1,1,0,0,True
-0.31343283582089554,-0.5933338802778341,1.0,0.0,1.0,1.3059701492537317,3,2,4,1,1,0,0,True
-0.29850746268656714,-0.5497681586674964,0.0,0.0,0.0,0.246268656716418,3,2,4,1,1,0,0,True
3.7223880597014927,1.4123093518520276,0.0,0.0,0.0,-0.6343283582089553,3,2,4,1,1,0,0,True
-0.2537313432835821,-0.4335996028669041,0.0,0.0,0.0,0.0970149253731344,3,2,4,1,1,0,0,True
-0.1761194029850746,-0.26972316334370183,0.0,0.0,0.0,-0.0671641791044776,3,2,4,1,1,0,0,True
1.2537313432835822,0.8205675727874405,250.0,0.0,250.0,30.52985074626866,3,2,4,1,1,0,0,True
0.7611940298507462,0.6011160013208424,1.0,0.0,1.0,-0.3432835820895523,3,2,4,1,1,0,0,True
0.9701492537313433,0.7029226433964875,4.0,0.0,4.0,0.05223880597014933,3,2,4,1,1,0,0,True
-0.31343283582089554,-0.5933338802778341,1.0,0.0,1.0,1.3059701492537317,3,2,4,1,1,0,0,True
0.11940298507462686,0.13652150708809657,0.0,0.0,0.0,-0.3507462686567165,3,2,4,1,1,0,0,True
0.05970149253731343,0.07166244090165488,3.0,0.0,3.0,0.8059701492537314,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,0.0,0.0,0.0,-0.6119402985074627,3,2,4,1,1,0,0,True
1.2537313432835822,0.8205675727874405,0.0,0.0,0.0,-0.5597014925373135,3,2,4,1,1,0,0,True
-0.3402985074626866,-0.6795142895058917,1.0,0.0,1.0,1.574626865671642,3,2,4,1,1,0,0,True
-0.408955223880597,-0.9670334270689187,1.0,0.0,1.0,2.783582089552239,3,2,4,1,1,0,0,True
1.7014925373134329,0.9729145179237406,0.0,0.0,0.0,-0.5895522388059703,3,2,4,1,1,0,0,True
-0.05373134328358209,-0.07162070043853597,0.0,0.0,0.0,-0.2238805970149254,3,2,4,1,1,0,0,True
-0.014925373134328358,-0.019153928259626297,0.0,0.0,0.0,-0.26119402985074625,3,2,4,1,1,0,0,True
-0.11343283582089553,-0.1611274531754222,3.0,0.0,3.0,1.4179104477611941,3,2,4,1,1,0,0,True
8.417910447761194,1.9201108354677239,1.0,0.0,1.0,-0.6343283582089553,3,2,4,1,1,0,0,True
0.1791044776119403,0.19575770878184406,2.0,0.0,2.0,0.246268656716418,3,2,4,1,1,0,0,True
-0.31343283582089554,-0.5933338802778341,0.0,0.0,0.0,0.30597014925373134,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,0.0,0.0,0.0,-0.6119402985074627,3,2,4,1,1,0,0,True
7.6447761194029855,1.8583968905175683,0.0,0.0,0.0,-0.6567164179104479,3,2,4,1,1,0,0,True
-0.21194029850746268,-0.3405191570470404,0.0,0.0,0.0,0.0,3,2,4,1,1,0,0,True
-0.14925373134328357,-0.22105634549214764,1.0,0.0,1.0,0.4626865671641792,3,2,0,1,1,0,0,True
